#,t_min,Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Ref.
40,31,Bahrain,Manama,"17.2
(63.0)","18.0
(64.4)","21.2
(70.2)","25.3
(77.5)","30.0
(86.0)","32.6
(90.7)","34.1
(93.4)","34.2
(93.6)","32.5
(90.5)","29.3
(84.7)","24.5
(76.1)","19.3
(66.7)","26.5
(79.7)",[113]
41,31,Cambodia,Phnom Penh,"26.6
(79.9)","28.0
(82.4)","29.4
(84.9)","30.2
(86.4)","30.0
(86.0)","29.2
(84.6)","28.7
(83.7)","28.5
(83.3)","28.2
(82.8)","27.2
(81.0)","27.1
(80.8)","26.3
(79.3)","28.3
(82.9)",[115]
42,31,China,Beijing,"-3.1
(26.4)","0.3
(32.5)","6.7
(44.1)","14.8
(58.6)","20.8
(69.4)","24.9
(76.8)","26.7
(80.1)","25.5
(77.9)","20.8
(69.4)","13.7
(56.7)","5.0
(41.0)","-0.9
(30.4)","12.9
(55.2)",[116]
43,31,Hong Kong,Hong Kong,"16.3
(61.3)","16.8
(62.2)","19.1
(66.4)","22.6
(72.7)","25.9
(78.6)","27.9
(82.2)","28.8
(83.8)","28.6
(83.5)","27.7
(81.9)","25.5
(77.9)","21.8
(71.2)","17.9
(64.2)","23.3
(73.9)",[125]
44,31,India,New Delhi,"13.8
(56.8)","16.5
(61.7)","22.1
(71.8)","28.7
(83.7)","32.8
(91.0)","34
(93)","30.9
(87.6)","29.7
(85.5)","29
(84)","26.1
(79.0)","20.5
(68.9)","15.3
(59.5)","25
(77)",[126]
45,31,Indonesia,Jakarta,"26.1
(79.0)","26.1
(79.0)","26.4
(79.5)","27.0
(80.6)","27.2
(81.0)","26.7
(80.1)","26.4
(79.5)","26.7
(80.1)","27.0
(80.6)","27.2
(81.0)","27.0
(80.6)","26.4
(79.5)","26.7
(80.1)",[129]
46,31,Iran,Tehran,"1
(34)","5
(41)","10
(50)","17
(63)","21
(70)","27
(81)","31
(88)","29
(84)","26
(79)","18
(64)","11
(52)","5
(41)","17
(63)",[132]
47,31,Israel,Tel Aviv,"12
(54)","13
(55)","15
(59)","18
(64)","21
(70)","23
(73)","26
(79)","26
(79)","25
(77)","22
(72)","18
(64)","13
(55)","20
(68)",[1
48,31,Japan,Tokyo,"5.2
(41.4)","5.7
(42.3)","8.7
(47.7)","13.9
(57.0)","18.2
(64.8)","21.4
(70.5)","25.0
(77.0)","26.4
(79.5)","22.8
(73.0)","17.5
(63.5)","12.1
(53.8)","7.6
(45.7)","15.4
(59.7)",[136]
49,31,"Korea, South",Seoul,"-2.4
(27.7)","0.4
(32.7)","5.7
(42.3)","12.5
(54.5)","17.8
(64.0)","22.2
(72.0)","24.9
(76.8)","25.7
(78.3)","21.2
(70.2)","14.8
(58.6)","7.2
(45.0)","0.4
(32.7)","12.5
(54.5)",[14
50,31,Kuwait,Kuwait City,"12.5
(54.5)","14.8
(58.6)","19.3
(66.7)","24.9
(76.8)","31.5
(88.7)","36.0
(96.8)","37.7
(99.9)","36.8
(98.2)","33.3
(91.9)","27.3
(81.1)","19.9
(67.8)","14.1
(57.4)","25.7
(78.3)",[141]
51,31,Laos,Vientiane,"21.7
(71.1)","24.0
(75.2)","26.7
(80.1)","28.5
(83.3)","27.7
(81.9)","27.7
(81.9)","27.5
(81.5)","27.2
(81.0)","27.0
(80.6)","26.4
(79.5)","24.3
(75.7)","21.7
(71.1)","25.9
(78.6)",[1
52,31,Malaysia,Kuala Lumpur,"26.9
(80.4)","27.3
(81.1)","27.6
(81.7)","27.7
(81.9)","28.0
(82.4)","27.9
(82.2)","27.4
(81.3)","27.5
(81.5)","27.2
(81.0)","27.1
(80.8)","26.8
(80.2)","26.7
(80.1)","27.3
(81.1)",[145]
53,31,Mongolia,Ulaanbaatar,"-21.6
(-6.9)","-16.6
(2.1)","-7.4
(18.7)","2.0
(35.6)","10.1
(50.2)","15.7
(60.3)","18.2
(64.8)","16.0
(60.8)","9.6
(49.3)","0.5
(32.9)","-11.9
(10.6)","-19.0
(-2.2)","-0.4
(31.3)",[147]
54,31,Myanmar,Mandalay,"21.9
(71.4)","24.4
(75.9)","28.8
(83.8)","31.9
(89.4)","31.3
(88.3)","30.8
(87.4)","30.8
(87.4)","30.2
(86.4)","29.7
(85.5)","28.8
(83.8)","25.7
(78.3)","22.2
(72.0)","28.0
(82.4)",[1
55,31,Nepal,Kathmandu,"10.0
(50.0)","11.9
(53.4)","16.1
(61.0)","19.2
(66.6)","21.8
(71.2)","23.8
(74.8)","24.1
(75.4)","24.1
(75.4)","23.3
(73.9)","19.1
(66.4)","14.8
(58.6)","11.3
(52.3)","18.3
(64.9)",[15
56,31,Philippines,Manila,"26.7
(80.1)","27.4
(81.3)","28.7
(83.7)","30.1
(86.2)","30.0
(86.0)","29.3
(84.7)","28.5
(83.3)","28.3
(82.9)","28.4
(83.1)","28.4
(83.1)","28.0
(82.4)","27.0
(80.6)","28.4
(83.1)",[15
57,31,Sri Lanka,Colombo,"26.6
(79.9)","26.9
(80.4)","27.7
(81.9)","28.2
(82.8)","28.3
(82.9)","27.9
(82.2)","27.6
(81.7)","27.6
(81.7)","27.5
(81.5)","27.0
(80.6)","26.7
(80.1)","26.6
(79.9)","27.4
(81.3)",[164
58,31,Saudi Arabia,Riyadh,"14
(57)","16
(61)","21
(70)","26
(79)","32
(90)","34
(93)","36
(97)","35
(95)","32
(90)","27
(81)","21
(70)","16
(61)","26
(79)",[162]
59,31,Thailand,Bangkok,"27.0
(80.6)","28.3
(82.9)","29.5
(85.1)","30.5
(86.9)","29.9
(85.8)","29.5
(85.1)","29.0
(84.2)","28.8
(83.8)","28.3
(82.9)","28.1
(82.6)","27.8
(82.0)","26.5
(79.7)","28.6
(83.5)",[168]
